Label,D0_open,D0_close,D0_low,D0_high,D1_open,D1_close,D1_low,D1_high,D2_open,D2_close,D2_low,D2_high,D3_open,D3_close,D3_low,D3_high,D4_open,D4_close,D4_low,D4_high,D5_open,D5_close,D5_low,D5_high,D6_open,D6_close,D6_low,D6_high,D7_open,D7_close,D7_low,D7_high
False,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5916,0.5804,0.5804,0.5804,0.5848,0.5714,0.5693,0.5693,0.5714,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5893,0.5557,0.5536,0.5536,0.5557,0.5579999999999999,0.5579999999999999,0.5579999999999999,0.5625,0.547,0.547,0.547,0.5491,0.547,0.5446,0.5446,0.547
False,0.5870000000000001,0.5848,0.5848,0.5893,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5916,0.5804,0.5804,0.5804,0.5848,0.5714,0.5693,0.5693,0.5714,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5893,0.5557,0.5536,0.5536,0.5557,0.5579999999999999,0.5579999999999999,0.5579999999999999,0.5625,0.547,0.547,0.547,0.5491
False,0.578,0.5759,0.5759,0.578,0.5870000000000001,0.5848,0.5848,0.5893,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5916,0.5804,0.5804,0.5804,0.5848,0.5714,0.5693,0.5693,0.5714,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5893,0.5557,0.5536,0.5536,0.5557,0.5579999999999999,0.5579999999999999,0.5579999999999999,0.5625
False,0.5557,0.5536,0.5536,0.5557,0.5759,0.5714,0.5714,0.5759,0.578,0.5759,0.5759,0.578,0.5870000000000001,0.5848,0.5848,0.5893,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5916,0.5804,0.5804,0.5804,0.5848,0.5714,0.5693,0.5693,0.5714,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5893
False,0.5357,0.5334,0.5334,0.5357,0.5557,0.5536,0.5536,0.5557,0.5759,0.5714,0.5714,0.5759,0.578,0.5759,0.5759,0.578,0.5870000000000001,0.5848,0.5848,0.5893,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5916,0.5804,0.5804,0.5804,0.5848,0.5714,0.5693,0.5693,0.5714
False,0.5089,0.5045,0.5045,0.5089,0.5357,0.5334,0.5334,0.5357,0.5557,0.5536,0.5536,0.5557,0.5759,0.5714,0.5714,0.5759,0.578,0.5759,0.5759,0.578,0.5870000000000001,0.5848,0.5848,0.5893,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5916,0.5804,0.5804,0.5804,0.5848
True,0.4777,0.4755,0.4755,0.4777,0.5089,0.5045,0.5045,0.5089,0.5357,0.5334,0.5334,0.5357,0.5557,0.5536,0.5536,0.5557,0.5759,0.5714,0.5714,0.5759,0.578,0.5759,0.5759,0.578,0.5870000000000001,0.5848,0.5848,0.5893,0.5870000000000001,0.5870000000000001,0.5870000000000001,0.5916
True,0.4932,0.4932,0.4932,0.4955,0.4777,0.4755,0.4755,0.4777,0.5089,0.5045,0.5045,0.5089,0.5357,0.5334,0.5334,0.5357,0.5557,0.5536,0.5536,0.5557,0.5759,0.5714,0.5714,0.5759,0.578,0.5759,0.5759,0.578,0.5870000000000001,0.5848,0.5848,0.5893
False,0.5111,0.5111,0.5111,0.5134,0.4932,0.4932,0.4932,0.4955,0.4777,0.4755,0.4755,0.4777,0.5089,0.5045,0.5045,0.5089,0.5357,0.5334,0.5334,0.5357,0.5557,0.5536,0.5536,0.5557,0.5759,0.5714,0.5714,0.5759,0.578,0.5759,0.5759,0.578
True,0.5111,0.5111,0.5111,0.5155,0.5111,0.5111,0.5111,0.5134,0.4932,0.4932,0.4932,0.4955,0.4777,0.4755,0.4755,0.4777,0.5089,0.5045,0.5045,0.5089,0.5357,0.5334,0.5334,0.5357,0.5557,0.5536,0.5536,0.5557,0.5759,0.5714,0.5714,0.5759
False,0.5134,0.5134,0.5134,0.5155,0.5111,0.5111,0.5111,0.5155,0.5111,0.5111,0.5111,0.5134,0.4932,0.4932,0.4932,0.4955,0.4777,0.4755,0.4755,0.4777,0.5089,0.5045,0.5045,0.5089,0.5357,0.5334,0.5334,0.5357,0.5557,0.5536,0.5536,0.5557
False,0.4911,0.4866,0.4866,0.4911,0.5134,0.5134,0.5134,0.5155,0.5111,0.5111,0.5111,0.5155,0.5111,0.5111,0.5111,0.5134,0.4932,0.4932,0.4932,0.4955,0.4777,0.4755,0.4755,0.4777,0.5089,0.5045,0.5045,0.5089,0.5357,0.5334,0.5334,0.5357
False,0.4866,0.4866,0.4866,0.4889,0.4911,0.4866,0.4866,0.4911,0.5134,0.5134,0.5134,0.5155,0.5111,0.5111,0.5111,0.5155,0.5111,0.5111,0.5111,0.5134,0.4932,0.4932,0.4932,0.4955,0.4777,0.4755,0.4755,0.4777,0.5089,0.5045,0.5045,0.5089
